KM,bookcallnum,title,author,year,month,page,specattr,sprocess,specpath,fullspecpath,localpath,hue,saturation,brightness,cluster,title_c,author_c,year_c,specattr_c,sprocess_c,cluster_c
105,TR 1. A6,Anthony's Photographic Journal,E. & H.T. Anthony & Co.,1879,May ,129a,Harroun & Bierstadt,Collotype,specimens_resized/105_S.JPG,specimens_resized_panel/105_S.JPG,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/105_S.JPG,48.0,0.04786567828483828,0.5754727616184595,2,5,5,7,7,1,5
106,TR 1. A6,Anthony's Photographic Journal,E. & H.T. Anthony & Co.,1879,July,193a,Harroun & Bierstadt,Collotype,specimens_resized/106_S.JPG,specimens_resized_panel/106_S.JPG,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/106_S.JPG,318.0,0.07183311116484634,0.4898630129446989,0,5,5,7,7,1,7
107,TR 1. A6,Anthony's Photographic Journal,E. & H.T. Anthony & Co.,1879,September,257a,Harroun & Bierstadt,Collotype,specimens_resized/107_S.JPG,specimens_resized_panel/107_S.JPG,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/107_S.JPG,42.0,0.05773778505192152,0.5882787542685612,0,5,5,7,7,1,7
108,TR 1. A6,Anthony's Photographic Journal,E. & H.T. Anthony & Co.,1879,October,289a,E. Klauber ,Collotype,specimens_resized/108_S.JPG,specimens_resized_panel/108_S.JPG,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/108_S.JPG,264.0,0.057510179231266285,0.5782406875510621,11,5,5,7,7,1,0
109,TR 1. A6,Anthony's Photographic Journal,E. & H.T. Anthony & Co.,1879,November,321a,Harroun & Bierstadt,Collotype,specimens_resized/109_S.JPG,specimens_resized_panel/109_S.JPG,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/109_S.JPG,336.0,0.06573332446126268,0.5333838094664095,11,5,5,7,7,1,0
110,TR 1. A6,Anthony's Photographic Journal,E. & H.T. Anthony & Co.,1880,March,65a,Harroun & Bierstadt,Collotype,specimens_resized/110_S.JPG,specimens_resized_panel/110_S.JPG,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/110_S.JPG,339.0,0.07985547074949792,0.4894064308705409,11,5,5,7,7,1,0
111,TR 1. A6,Anthony's Photographic Journal,E. & H.T. Anthony & Co.,1880,May,129a,Heliotype Printers Co. ,Collotype,specimens_resized/111_S.JPG,specimens_resized_panel/111_S.JPG,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/111_S.JPG,323.0,0.08406420634789807,0.5723159458675944,3,5,5,7,7,1,4
112,TR 1. A6,Anthony's Photographic Journal,E. & H.T. Anthony & Co.,1880,June,161a,Harroun & Bierstadt,Collotype,specimens_resized/112_S.JPG,specimens_resized_panel/112_S.JPG,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/112_S.JPG,257.0,0.08601535469944321,0.5291231925731187,3,5,5,7,7,1,4
113,TR 1. A6,Anthony's Photographic Journal,E. & H.T. Anthony & Co.,1880,July,195a,Harroun & Bierstadt,Collotype,specimens_resized/113_S.JPG,specimens_resized_panel/113_S.JPG,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/113_S.JPG,260.0,0.06207338964291567,0.5253247046769527,11,5,5,7,7,1,0
114,TR 1. A6,Anthony's Photographic Journal,E. & H.T. Anthony & Co.,1880,August,225a,Lithotype Printing Co. ,Photolithograph,specimens_resized/114_S.JPG,specimens_resized_panel/114_S.JPG,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/114_S.JPG,42.0,0.13510813460763854,0.5020963382097631,7,5,5,7,7,5,1
