KM,bookcallnum,title,author,year,month,page,specattr,sprocess,specpath,fullspecpath
199,TR 1. B83,British Journal Photographic Almanac,Unnamed ,1886,None,49a,Goupil & Cie.,Photogravure,specimens_resized/199_S.JPG,specimens_resized_panel/199_S.JPG
200,TR 1. B83,British Journal Photographic Almanac,Unnamed ,1887,None,50a,None,Photomechanical print,specimens_resized/200_S.JPG,specimens_resized_panel/200_S.JPG
201,TR 1. B83,British Journal Photographic Almanac,Unnamed ,1889,None,161,Waterlow & Sons Ltd. ,Collotype,specimens_resized/201_S.JPG,specimens_resized_panel/201_S.JPG
202,TR 1. B83,British Journal Photographic Almanac,Unnamed ,1889,None,262b,Morgan & Kidd,Gelatin silver DOP,specimens_resized/202_S.JPG,specimens_resized_panel/202_S.JPG
203,TR 1. B83,British Journal Photographic Almanac,Unnamed ,1889,None,518b,Waterlow & Sons Ltd. ,Collotype,specimens_resized/203_S.JPG,specimens_resized_panel/203_S.JPG
204,TR 1. B83,British Journal Photographic Almanac,Unnamed ,1890,None,101,Waterlow & Sons Ltd. ,Collotype,specimens_resized/204_S.JPG,specimens_resized_panel/204_S.JPG
205,TR 1. B83,British Journal Photographic Almanac,Unnamed ,1890,None,362b,Morgan & Kidd,Gelatin silver DOP,specimens_resized/205_S.JPG,specimens_resized_panel/205_S.JPG
206,TR 1. B83,British Journal Photographic Almanac,Unnamed ,1890,None,394b,London Stereoscopic Co.,Photogravure,specimens_resized/206_S.JPG,specimens_resized_panel/206_S.JPG
207,TR 1. B83,British Journal Photographic Almanac,Unnamed ,1891,None,474b,Morgan & Kidd,Gelatin silver DOP,specimens_resized/207_S.JPG,specimens_resized_panel/207_S.JPG
208,TR 1. B83,British Journal Photographic Almanac,Unnamed ,1891,None,602b,None,Collotype,specimens_resized/208_S.JPG,specimens_resized_panel/208_S.JPG
209,TR 1. B83,British Journal Photographic Almanac,Unnamed ,1892,None,515a,Morgan & Kidd,Gelatin silver DOP,specimens_resized/209_S.JPG,specimens_resized_panel/209_S.JPG
210,TR 1. B83,British Journal Photographic Almanac,Unnamed ,1894,None,594a,Morgan & Kidd,Collotype,specimens_resized/210_S.JPG,specimens_resized_panel/210_S.JPG
211,TR 1. B83,British Journal Photographic Almanac,Unnamed ,1894,None,1191,Sharp & Hitchmough,None,specimens_resized/211_S.JPG,specimens_resized_panel/211_S.JPG
212,TR 1. B83,British Journal Photographic Almanac,Unnamed ,1895,None,571a,None,Gelatin silver DOP,specimens_resized/212_S.JPG,specimens_resized_panel/212_S.JPG
213,TR 1. B83,British Journal Photographic Almanac,Unnamed ,1895,None,1191,Sharp & Hitchmough,None,specimens_resized/213_S.JPG,specimens_resized_panel/213_S.JPG
214,TR 1. B83,British Journal Photographic Almanac,Unnamed ,1896,None,570b,Morgan & Kidd,Gelatin silver DOP,specimens_resized/214_S.JPG,specimens_resized_panel/214_S.JPG
215,TR 1. B83,British Journal Photographic Almanac,Unnamed ,1896,None,666b,RichmondCollotype Printing Co.,Collotype,specimens_resized/215_S.JPG,specimens_resized_panel/215_S.JPG
216,TR 1. B83,British Journal Photographic Almanac,Unnamed ,1896,None,1211,Sharp & Hitchmough,None,specimens_resized/216_S.JPG,specimens_resized_panel/216_S.JPG
217,TR 1. B83,British Journal Photographic Almanac,Unnamed ,1897,None,336,Adams & Co. ,None,specimens_resized/217_S.JPG,specimens_resized_panel/217_S.JPG
218,TR 1. B83,British Journal Photographic Almanac,Unnamed ,1897,None,618b,Morgan & Kidd,Gelatin silver DOP,specimens_resized/218_S.JPG,specimens_resized_panel/218_S.JPG
219,TR 1. B83,British Journal Photographic Almanac,Unnamed ,1897,None,746b,Raines & Co.,Gelatin silver DOP,specimens_resized/219_S.JPG,specimens_resized_panel/219_S.JPG
220,TR 1. B83,British Journal Photographic Almanac,Unnamed ,1897,None,842b,None,Gelatin silver DOP,specimens_resized/220_S.JPG,specimens_resized_panel/220_S.JPG
221,TR 1. B83,British Journal Photographic Almanac,Unnamed ,1897,None,1220,Sharp & Hitchmough,None,specimens_resized/221_S.JPG,specimens_resized_panel/221_S.JPG
222,TR 1. B83,British Journal Photographic Almanac,Unnamed ,1898,None,636b,None,Gelatin silver DOP,specimens_resized/222_S.JPG,specimens_resized_panel/222_S.JPG
223,TR 1. B83,British Journal Photographic Almanac,Unnamed ,1898,None,764b,Waterlow & Sons Ltd. ,Halftone,specimens_resized/223_S.JPG,specimens_resized_panel/223_S.JPG
224,TR 1. B83,British Journal Photographic Almanac,Unnamed ,1898,None,924b,Morgan & Kidd,Collotype,specimens_resized/224_S.JPG,specimens_resized_panel/224_S.JPG
225,TR 1. B83,British Journal Photographic Almanac,Unnamed ,1899,None,650b,Morgan & Kidd,Gelatin silver DOP,specimens_resized/225_S.JPG,specimens_resized_panel/225_S.JPG
226,TR 1. B83,British Journal Photographic Almanac,Unnamed ,1899,None,1316,Sharp & Hitchmough,None,specimens_resized/226_S.JPG,specimens_resized_panel/226_S.JPG
227,TR 1. B83,British Journal Photographic Almanac,Unnamed ,1899,None,1347,Sharp & Hitchmough,None,specimens_resized/227_S.JPG,specimens_resized_panel/227_S.JPG
228,TR 1. B83,British Journal Photographic Almanac,Unnamed ,1900,None,634b,None,Gelatin silver DOP,specimens_resized/228_S.JPG,specimens_resized_panel/228_S.JPG
229,TR 1. B83,British Journal Photographic Almanac,Unnamed ,1900,None,1338,Sharp & Hitchmough,None,specimens_resized/229_S.JPG,specimens_resized_panel/229_S.JPG
230,TR 1. B83,British Journal Photographic Almanac,Unnamed ,1900,None,1339,Sharp & Hitchmough,None,specimens_resized/230_S.JPG,specimens_resized_panel/230_S.JPG
286,TR 1. C6,The St. Louis and Canadian Photographer,"George Gilson, ed.",1891,January,1a ,None,Albumen silver print,specimens_resized/286_S.JPG,specimens_resized_panel/286_S.JPG
287,TR 1. C6,The St. Louis and Canadian Photographer,"George Gilson, ed.",1891,January,32b,None,Albumen silver print,specimens_resized/287_S.JPG,specimens_resized_panel/287_S.JPG
288,TR 1. C6,The St. Louis and Canadian Photographer,"George Gilson, ed.",1891,February,45a,None,Albumen silver print,specimens_resized/288_S.JPG,specimens_resized_panel/288_S.JPG
289,TR 1. C6,The St. Louis and Canadian Photographer,"George Gilson, ed.",1891,March,87a,None,Collodion POP,specimens_resized/289_S.JPG,specimens_resized_panel/289_S.JPG
290,TR 1. C6,The St. Louis and Canadian Photographer,"George Gilson, ed.",1891,April,131a,None,Albumen silver print,specimens_resized/290_S.JPG,specimens_resized_panel/290_S.JPG
291,TR 1. C6,The St. Louis and Canadian Photographer,"George Gilson, ed.",1891,April,163a,Buffalo Argentic Paper Co.,Gelatin silver DOP,specimens_resized/291_S.JPG,specimens_resized_panel/291_S.JPG
292,TR 1. C6,The St. Louis and Canadian Photographer,"George Gilson, ed.",1891,May,frontmatter1,None,Albumen silver print,specimens_resized/292_S.JPG,specimens_resized_panel/292_S.JPG
293,TR 1. C6,The St. Louis and Canadian Photographer,"George Gilson, ed.",1891,May,173a,None,Collodion POP,specimens_resized/293_S.JPG,specimens_resized_panel/293_S.JPG
294,TR 1. C6,The St. Louis and Canadian Photographer,"George Gilson, ed.",1891,June,214b,None,Collodion POP,specimens_resized/294_S.JPG,specimens_resized_panel/294_S.JPG
295,TR 1. C6,The St. Louis and Canadian Photographer,"George Gilson, ed.",1891,June,215a,None,Albumen silver print,specimens_resized/295_S.JPG,specimens_resized_panel/295_S.JPG
296,TR 1. C6,The St. Louis and Canadian Photographer,"George Gilson, ed.",1891,July,257a,None,Albumen silver print,specimens_resized/296_S.JPG,specimens_resized_panel/296_S.JPG
297,TR 1. C6,The St. Louis and Canadian Photographer,"George Gilson, ed.",1891,July,frontmatter2,None,Albumen silver print,specimens_resized/297_S.JPG,specimens_resized_panel/297_S.JPG
298,TR 1. C6,The St. Louis and Canadian Photographer,"George Gilson, ed.",1891,August,299a,None,Albumen silver print,specimens_resized/298_S.JPG,specimens_resized_panel/298_S.JPG
299,TR 1. C6,The St. Louis and Canadian Photographer,"George Gilson, ed.",1891,September,345a,None,Albumen silver print,specimens_resized/299_S.JPG,specimens_resized_panel/299_S.JPG
300,TR 1. C6,The St. Louis and Canadian Photographer,"George Gilson, ed.",1891,October,391a,None,Gelatin silver DOP,specimens_resized/300_S.JPG,specimens_resized_panel/300_S.JPG
301,TR 1. C6,The St. Louis and Canadian Photographer,"George Gilson, ed.",1891,October,391b,None,Collodion POP,specimens_resized/301_S.JPG,specimens_resized_panel/301_S.JPG
302,TR 1. C6,The St. Louis and Canadian Photographer,"George Gilson, ed.",1891,November,437a,None,Albumen silver print,specimens_resized/302_S.JPG,specimens_resized_panel/302_S.JPG
303,TR 1. C6,The St. Louis and Canadian Photographer,"George Gilson, ed.",1891,December,479a,None,Gelatin POP,specimens_resized/303_S.JPG,specimens_resized_panel/303_S.JPG
304,TR 1. C6,Canadian Photographic Journal,"George Gilson, ed.",1892,February,9a,None,Albumen silver print,specimens_resized/304_S.JPG,specimens_resized_panel/304_S.JPG
305,TR 1. C6,Canadian Photographic Journal,"George Gilson, ed.",1892,April,53a,None,Collodion POP,specimens_resized/305_S.JPG,specimens_resized_panel/305_S.JPG
306,TR 1. C6,Canadian Photographic Journal,"George Gilson, ed.",1892,May,79a,None,Collodion POP,specimens_resized/306_S.JPG,specimens_resized_panel/306_S.JPG
307,TR 1. C6,Canadian Photographic Journal,"George Gilson, ed.",1892,June,99a,None,Gelatin POP,specimens_resized/307_S.JPG,specimens_resized_panel/307_S.JPG
308,TR 1. C6,Canadian Photographic Journal,"George Gilson, ed.",1892,July,119a,None,Collodion POP,specimens_resized/308_S.JPG,specimens_resized_panel/308_S.JPG
309,TR 1. C6,Canadian Photographic Journal,"George Gilson, ed.",1892,August,143a,None,Collodion POP,specimens_resized/309_S.JPG,specimens_resized_panel/309_S.JPG
310,TR 1. C6,Canadian Photographic Journal,"George Gilson, ed.",1892,September,167a,None,Collodion POP,specimens_resized/310_S.JPG,specimens_resized_panel/310_S.JPG
311,TR 1. C6,Canadian Photographic Journal,"George Gilson, ed.",1892,October,197a,None,Collodion POP,specimens_resized/311_S.JPG,specimens_resized_panel/311_S.JPG
312,TR 1. C6,Canadian Photographic Journal,"George Gilson, ed.",1892,November,211b,None,Gelatin POP,specimens_resized/312_S.JPG,specimens_resized_panel/312_S.JPG
313,TR 1. C6,Canadian Photographic Journal,"George Gilson, ed.",1892,December,245a,None,Collodion or Gelatin POP,specimens_resized/313_S.JPG,specimens_resized_panel/313_S.JPG
314,TR 1. C6,Canadian Photographic Journal,"George Gilson, ed.",1893,January,267a,None,Gelatin POP,specimens_resized/314_S.JPG,specimens_resized_panel/314_S.JPG
315,TR 1. C6,The St. Louis and Canadian Photographer,"George Gilson, ed.",1892,June,211a,None,Collodion POP,specimens_resized/315_S.JPG,specimens_resized_panel/315_S.JPG
316,TR 1. C6,The St. Louis and Canadian Photographer,"George Gilson, ed.",1892,July,frontmatter,None,Albumen paper,specimens_resized/316_S.JPG,specimens_resized_panel/316_S.JPG
