KM,bookcallnum,title,author,year,month,page,specattr,sprocess,specpath,fullspecpath
478,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1894,August,140b,"Der Kunst- und Verlangsanstalt ""Graphos""",Collotype,specimens_resized/478_S.JPG,specimens_resized_panel/478_S.JPG
479,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1894,September,172b,J.B. Obernetter,Photogravure,specimens_resized/479_S.JPG,specimens_resized_panel/479_S.JPG
480,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1894,October,220b,J.B. Obernetter,Collotype,specimens_resized/480_S.JPG,specimens_resized_panel/480_S.JPG
481,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1894,December,284b,J.B. Obernetter,Collotype,specimens_resized/481_S.JPG,specimens_resized_panel/481_S.JPG
482,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1895,January,304b,Joseph Albert,Photogravure,specimens_resized/482_S.JPG,specimens_resized_panel/482_S.JPG
483,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1895,February,336b,Neue Photographische Gesellschaft,Gelatin silver DOP,specimens_resized/483_S.JPG,specimens_resized_panel/483_S.JPG
484,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1895,March,384b,J.B. Obernetter,Photogravure,specimens_resized/484_S.JPG,specimens_resized_panel/484_S.JPG
485,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1895,April,12b,J.B. Obernetter,Collotype,specimens_resized/485_S.JPG,specimens_resized_panel/485_S.JPG
486,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1895,June,72b,J.B. Obernetter,Photogravure,specimens_resized/486_S.JPG,specimens_resized_panel/486_S.JPG
487,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1895,July,104b,"Meisenbach, Riffarth & Co. ",Photogravure,specimens_resized/487_S.JPG,specimens_resized_panel/487_S.JPG
488,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1895,August,144b,Joseph Albert,Photogravure,specimens_resized/488_S.JPG,specimens_resized_panel/488_S.JPG
489,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1895,October,207a,J.B. Obernetter,Photogravure,specimens_resized/489_S.JPG,specimens_resized_panel/489_S.JPG
490,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1896,January,303a,Joseph Albert,Photogravure,specimens_resized/490_S.JPG,specimens_resized_panel/490_S.JPG
491,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1896,March,396b,J.B. Obernetter ,Photogravure,specimens_resized/491_S.JPG,specimens_resized_panel/491_S.JPG
518,TR 1. F84,Photographische Correspondenz,Emil Hornig,1871,None,253b,None,Collotype,specimens_resized/518_S.JPG,specimens_resized_panel/518_S.JPG
519,TR 1. F84,Photographische Correspondenz,Emil Hornig,1871,None,254b,Xaver,Albumen silver print,specimens_resized/519_S.JPG,specimens_resized_panel/519_S.JPG
520,TR 1. F84,Photographische Correspondenz,Emil Hornig,1871,None,255b,Wurm & Schlogl,Photolithograph,specimens_resized/520_S.JPG,specimens_resized_panel/520_S.JPG
521,TR 1. F84,Photographische Correspondenz,Emil Hornig,1871,None,256b ,None,Albumen silver print,specimens_resized/521_S.JPG,specimens_resized_panel/521_S.JPG
522,TR 1. F84,Photographische Correspondenz,Emil Hornig,1871,None,257b,None,Albumen silver print,specimens_resized/522_S.JPG,specimens_resized_panel/522_S.JPG
523,TR 1. F84,Photographische Correspondenz,Emil Hornig,1871,None,258b,None,Collotype,specimens_resized/523_S.JPG,specimens_resized_panel/523_S.JPG
524,TR 1. F84,Photographische Correspondenz,Emil Hornig,1872,None,258b,Simonau & Toovey,Woodburytype,specimens_resized/524_S.JPG,specimens_resized_panel/524_S.JPG
525,TR 1. F84,Photographische Correspondenz,Emil Hornig,1872,None,260b,K. Krziwanek,Albumen silver print,specimens_resized/525_S.JPG,specimens_resized_panel/525_S.JPG
526,TR 1. F84,Photographische Correspondenz,Emil Hornig,1872,None,261b,Th. Creifelds,Collotype,specimens_resized/526_S.JPG,specimens_resized_panel/526_S.JPG
527,TR 1. F84,Photographische Correspondenz,Emil Hornig,1872,None,262b,K. Krziwanek,Albumen silver print,specimens_resized/527_S.JPG,specimens_resized_panel/527_S.JPG
528,TR 1. F84,Photographische Correspondenz,Emil Hornig,1872,None,264b,K. Krziwanek,Albumen silver print,specimens_resized/528_S.JPG,specimens_resized_panel/528_S.JPG
529,TR 1. F84,Photographische Correspondenz,Emil Hornig,1872,None,267b,None,Collotype,specimens_resized/529_S.JPG,specimens_resized_panel/529_S.JPG
530,TR 1. F84,Photographische Correspondenz,Emil Hornig,1873,None,54b,J. Lowy,Collotype,specimens_resized/530_S.JPG,specimens_resized_panel/530_S.JPG
531,TR 1. F84,Photographische Correspondenz,Emil Hornig,1873,None,80b,K. Krziwanek,Albumen silver print,specimens_resized/531_S.JPG,specimens_resized_panel/531_S.JPG
532,TR 1. F84,Photographische Correspondenz,Emil Hornig,1873,None,116b,None,Collotype,specimens_resized/532_S.JPG,specimens_resized_panel/532_S.JPG
533,TR 1. F84,Photographische Correspondenz,Emil Hornig,1873,None,177b,A.L. Koppe,Collotype,specimens_resized/533_S.JPG,specimens_resized_panel/533_S.JPG
534,TR 1. F84,Photographische Correspondenz,Emil Hornig,1873,None,196b,C.W. Jacobi,Collotype,specimens_resized/534_S.JPG,specimens_resized_panel/534_S.JPG
535,TR 1. F84,Photographische Correspondenz,Emil Hornig,1873,None,236b,Frisch & Co.,Collotype,specimens_resized/535_S.JPG,specimens_resized_panel/535_S.JPG
536,TR 1. F84,Photographische Correspondenz,Emil Hornig,1874,None,90b,J.B. Obernetter,Photolithograph,specimens_resized/536_S.JPG,specimens_resized_panel/536_S.JPG
537,TR 1. F84,Photographische Correspondenz,Emil Hornig,1874,None,108b,G. Scamoni ,Photogravure,specimens_resized/537_S.JPG,specimens_resized_panel/537_S.JPG
538,TR 1. F84,Photographische Correspondenz,Emil Hornig,1874,None,128b,Lefmann & Lourdel,Photolithograph,specimens_resized/538_S.JPG,specimens_resized_panel/538_S.JPG
539,TR 1. F84,Photographische Correspondenz,Emil Hornig,1874,None,168b,K.K. Militar-Geographischen Institut ,Photogravure,specimens_resized/539_S.JPG,specimens_resized_panel/539_S.JPG
540,TR 1. F84,Photographische Correspondenz,Emil Hornig,1874,None,188b,E. H. Jacobi,Collotype,specimens_resized/540_S.JPG,specimens_resized_panel/540_S.JPG
541,TR 1. F84,Photographische Correspondenz,Emil Hornig,1874,None,backmatter,Sebastianutti,Collotype,specimens_resized/541_S.JPG,specimens_resized_panel/541_S.JPG
542,TR 1. F84,Photographische Correspondenz,Emil Hornig,1875,None,115b,Gemoser & Waltl,Collotype,specimens_resized/542_S.JPG,specimens_resized_panel/542_S.JPG
543,TR 1. F84,Photographische Correspondenz,Emil Hornig,1875,None,132b,C.H. Jacobi,Collotype,specimens_resized/543_S.JPG,specimens_resized_panel/543_S.JPG
544,TR 1. F84,Photographische Correspondenz,Emil Hornig,1875,None,168b,Th. Creifelds,Collotype,specimens_resized/544_S.JPG,specimens_resized_panel/544_S.JPG
545,TR 1. F84,Photographische Correspondenz,Emil Hornig,1875,None,206b,Amand-Durand,Photogravure,specimens_resized/545_S.JPG,specimens_resized_panel/545_S.JPG
546,TR 1. F84,Photographische Correspondenz,Emil Hornig,1875,None,226b,Gemoser & Waltl,Collotype,specimens_resized/546_S.JPG,specimens_resized_panel/546_S.JPG
547,TR 1. F84,Photographische Correspondenz,Emil Hornig,1875,None,277b,Rommler & Jonas,Collotype,specimens_resized/547_S.JPG,specimens_resized_panel/547_S.JPG
548,TR 1. F84,Photographische Correspondenz,Emil Hornig,1876,None,36b,Strumper & Co.,Collotype,specimens_resized/548_S.JPG,specimens_resized_panel/548_S.JPG
549,TR 1. F84,Photographische Correspondenz,Emil Hornig,1876,None,56b,C.L. Zamarski's Alterier,Photogravure,specimens_resized/549_S.JPG,specimens_resized_panel/549_S.JPG
550,TR 1. F84,Photographische Correspondenz,Emil Hornig,1876,None,76b,C.H. Jacobi,Collotype,specimens_resized/550_S.JPG,specimens_resized_panel/550_S.JPG
551,TR 1. F84,Photographische Correspondenz,Emil Hornig,1876,None,96b,Rommler & Jonas,Collotype,specimens_resized/551_S.JPG,specimens_resized_panel/551_S.JPG
552,TR 1. F84,Photographische Correspondenz,Emil Hornig,1876,None,116b,Joseph Leipold,Photogravure,specimens_resized/552_S.JPG,specimens_resized_panel/552_S.JPG
553,TR 1. F84,Photographische Correspondenz,Emil Hornig,1876,None,136b,J.B. Obernetter,Collotype,specimens_resized/553_S.JPG,specimens_resized_panel/553_S.JPG
554,TR 1. F84,Photographische Correspondenz,Emil Hornig,1876,None,160b,C.H. Jacobi,Collotype,specimens_resized/554_S.JPG,specimens_resized_panel/554_S.JPG
555,TR 1. F84,Photographische Correspondenz,Emil Hornig,1876,None,214b,J. Lowy,Photolithograph,specimens_resized/555_S.JPG,specimens_resized_panel/555_S.JPG
556,TR 1. F84,Photographische Correspondenz,Emil Hornig,1876,None,282b,Friedrich Bruckman,Carbon print,specimens_resized/556_S.JPG,specimens_resized_panel/556_S.JPG
557,TR 1. F84,Photographische Correspondenz,Emil Hornig,1877,None,16b,Max Jaffe,Collotype,specimens_resized/557_S.JPG,specimens_resized_panel/557_S.JPG
558,TR 1. F84,Photographische Correspondenz,Emil Hornig,1877,None,40b,Atelier of Joseph Maes,Carbon print,specimens_resized/558_S.JPG,specimens_resized_panel/558_S.JPG
559,TR 1. F84,Photographische Correspondenz,Emil Hornig,1877,None,86b,Atelier of L.C. Zamarski,Photogravure,specimens_resized/559_S.JPG,specimens_resized_panel/559_S.JPG
560,TR 1. F84,Photographische Correspondenz,Emil Hornig,1877,None,94b,Frau Louise Koch,Collotype,specimens_resized/560_S.JPG,specimens_resized_panel/560_S.JPG
561,TR 1. F84,Photographische Correspondenz,Emil Hornig,1877,None,142b,Gillot et Fils,Gillotype,specimens_resized/561_S.JPG,specimens_resized_panel/561_S.JPG
562,TR 1. F84,Photographische Correspondenz,Emil Hornig,1877,None,166b,Victor Angerer,Albumen silver print,specimens_resized/562_S.JPG,specimens_resized_panel/562_S.JPG
563,TR 1. F84,Photographische Correspondenz,Emil Hornig,1877,None,182b,Carl Haack,Photolithograph,specimens_resized/563_S.JPG,specimens_resized_panel/563_S.JPG
564,TR 1. F84,Photographische Correspondenz,Emil Hornig,1877,None,230b,Atelier of Geruzet Freres,Carbon print,specimens_resized/564_S.JPG,specimens_resized_panel/564_S.JPG
565,TR 1. F84,Photographische Correspondenz,Emil Hornig,1877,None,248b,Schober & Baeckmann,Collotype,specimens_resized/565_S.JPG,specimens_resized_panel/565_S.JPG
566,TR 1. F84,Photographische Correspondenz,Emil Hornig,1878,None,60b,Gillot et Fils,Photolithograph,specimens_resized/566_S.JPG,specimens_resized_panel/566_S.JPG
567,TR 1. F84,Photographische Correspondenz,Emil Hornig,1878,None,84b,J. Lowy,Photolithograph,specimens_resized/567_S.JPG,specimens_resized_panel/567_S.JPG
568,TR 1. F84,Photographische Correspondenz,Emil Hornig,1878,None,108b,J. Lowy,Collotype,specimens_resized/568_S.JPG,specimens_resized_panel/568_S.JPG
569,TR 1. F84,Photographische Correspondenz,Emil Hornig,1878,None,132b,Joseph Albert,Collotype,specimens_resized/569_S.JPG,specimens_resized_panel/569_S.JPG
570,TR 1. F84,Photographische Correspondenz,Emil Hornig,1878,None,192b,J. Lowy,Collotype,specimens_resized/570_S.JPG,specimens_resized_panel/570_S.JPG
571,TR 1. F84,Photographische Correspondenz,Emil Hornig,1878,None,214b,M. Berthaud,Collotype,specimens_resized/571_S.JPG,specimens_resized_panel/571_S.JPG
572,TR 1. F84,Photographische Correspondenz,Emil Hornig,1878,None,234b,Societe Anonyme de Publications Periodiques,Woodburytype,specimens_resized/572_S.JPG,specimens_resized_panel/572_S.JPG
573,TR 1. F84,Photographische Correspondenz,Emil Hornig,1879,None,16b,Karl Klic,Photolithograph,specimens_resized/573_S.JPG,specimens_resized_panel/573_S.JPG
574,TR 1. F84,Photographische Correspondenz,Emil Hornig,1879,None,34b,Goupil & Cie.,Photogravure,specimens_resized/574_S.JPG,specimens_resized_panel/574_S.JPG
575,TR 1. F84,Photographische Correspondenz,Emil Hornig,1879,None,50b,M. Berthaud,Collotype,specimens_resized/575_S.JPG,specimens_resized_panel/575_S.JPG
576,TR 1. F84,Photographische Correspondenz,Emil Hornig,1879,None,84b,Lemercier & Cie.,Electrotype,specimens_resized/576_S.JPG,specimens_resized_panel/576_S.JPG
577,TR 1. F84,Photographische Correspondenz,Emil Hornig,1879,None,108b,"Atelier of Orell, Fussli & Co.",Photolithograph,specimens_resized/577_S.JPG,specimens_resized_panel/577_S.JPG
578,TR 1. F84,Photographische Correspondenz,Emil Hornig,1879,None,152b,J. Hauser,Photolithograph,specimens_resized/578_S.JPG,specimens_resized_panel/578_S.JPG
579,TR 1. F84,Photographische Correspondenz,Emil Hornig,1879,None,204b,Schober & Baeckmann,Collotype,specimens_resized/579_S.JPG,specimens_resized_panel/579_S.JPG
580,TR 1. F84,Photographische Correspondenz,Emil Hornig,1879,None,252b,J. Lowy,Collotype,specimens_resized/580_S.JPG,specimens_resized_panel/580_S.JPG
581,TR 1. F84,Photographische Correspondenz,Emil Hornig,1880,None,16b,Karl Klic,Photogravure,specimens_resized/581_S.JPG,specimens_resized_panel/581_S.JPG
582,TR 1. F84,Photographische Correspondenz,Emil Hornig,1880,None,58b,J. Baeckmann,Collotype,specimens_resized/582_S.JPG,specimens_resized_panel/582_S.JPG
583,TR 1. F84,Photographische Correspondenz,Emil Hornig,1880,None,86b,E. Mariot,Photogravure,specimens_resized/583_S.JPG,specimens_resized_panel/583_S.JPG
584,TR 1. F84,Photographische Correspondenz,Emil Hornig,1880,None,166b,W. Bruckner,Collotype,specimens_resized/584_S.JPG,specimens_resized_panel/584_S.JPG
585,TR 1. F84,Photographische Correspondenz,Emil Hornig,1880,None,204b,J. Kraemer,Collotype,specimens_resized/585_S.JPG,specimens_resized_panel/585_S.JPG
586,TR 1. F84,Photographische Correspondenz,Emil Hornig,1880,None,240b,G. Fuhrmann,Collotype,specimens_resized/586_S.JPG,specimens_resized_panel/586_S.JPG
587,TR 1. F84,Photographische Correspondenz,Emil Hornig,1881,None,16b,k.k. Militar-Geographischen Institut ,Photogravure,specimens_resized/587_S.JPG,specimens_resized_panel/587_S.JPG
588,TR 1. F84,Photographische Correspondenz,Emil Hornig,1881,None,52b,Ignaz Fuchs,Collotype,specimens_resized/588_S.JPG,specimens_resized_panel/588_S.JPG
589,TR 1. F84,Photographische Correspondenz,Emil Hornig,1881,None,70b,J. Hauser,Photolithograph,specimens_resized/589_S.JPG,specimens_resized_panel/589_S.JPG
590,TR 1. F84,Photographische Correspondenz,Emil Hornig,1881,None,88b,H. Schwerdtfeger,Collotype,specimens_resized/590_S.JPG,specimens_resized_panel/590_S.JPG
591,TR 1. F84,Photographische Correspondenz,Emil Hornig,1881,None,142b,Angerer & Goschl,Photolithograph,specimens_resized/591_S.JPG,specimens_resized_panel/591_S.JPG
592,TR 1. F84,Photographische Correspondenz,Emil Hornig,1881,None,143b,G. Pizzighelli,Direct transfer print from a gelatin emulsion negative on stone,specimens_resized/592_S.JPG,specimens_resized_panel/592_S.JPG
593,TR 1. F84,Photographische Correspondenz,Emil Hornig,1881,None,160b,E. Mariot,Photogravure,specimens_resized/593_S.JPG,specimens_resized_panel/593_S.JPG
594,TR 1. H8,Humphrey's Journal of the Daguerreotype and Photographic Arts,Samuel Dwight Humphrey,1859,February,289,J.A. Cutting and L.H. Bradford,Photolithograph,specimens_resized/594_S.JPG,specimens_resized_panel/594_S.JPG
595,TR 1. H8,Humphrey's Journal of the Daguerreotype and Photographic Arts,Samuel Dwight Humphrey,1859,February,305,J.A. Cutting and L.H. Bradford,Photolithograph,specimens_resized/595_S.JPG,specimens_resized_panel/595_S.JPG
597,TR 1. P8,The Photographic Times,Scovill Manufacturing Co.,1873,May ,backmatter,Benerman & Wilson,Sample vignetting paper,specimens_resized/597_S.JPG,specimens_resized_panel/597_S.JPG
598,TR 1. P8,The Photographic Times,Scovill Manufacturing Co.,1874,None,frontmatter,"A.M. Collins, Son & Co.",Sample mount,specimens_resized/598_S.JPG,specimens_resized_panel/598_S.JPG
599,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1864,January,1a ,F. Gutekunst,Albumen silver print,specimens_resized/599_S.JPG,specimens_resized_panel/599_S.JPG
600,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1864,February,17a,F. Gutekunst,Albumen silver print,specimens_resized/600_S.JPG,specimens_resized_panel/600_S.JPG
601,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1864,March,33a,None,Albumen silver print,specimens_resized/601_S.JPG,specimens_resized_panel/601_S.JPG
602,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1864,April,49a,None,Albumen silver print,specimens_resized/602_S.JPG,specimens_resized_panel/602_S.JPG
603,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1864,May,65a,A.H. Hemple,Albumen silver print,specimens_resized/603_S.JPG,specimens_resized_panel/603_S.JPG
604,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1864,June,81a,A.H. Hemple,Albumen silver print,specimens_resized/604_S.JPG,specimens_resized_panel/604_S.JPG
605,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1864,July,97a,None,Salt print with gelatine additive and gum arabic coating,specimens_resized/605_S.JPG,specimens_resized_panel/605_S.JPG
606,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1864,August,113a,None,Albumen silver print,specimens_resized/606_S.JPG,specimens_resized_panel/606_S.JPG
607,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1864,September,128b,None,Albumen silver print,specimens_resized/607_S.JPG,specimens_resized_panel/607_S.JPG
608,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1864,October,145a,R. Newell,Albumen silver print,specimens_resized/608_S.JPG,specimens_resized_panel/608_S.JPG
609,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1864,November,161a,F. Gutekunst,Albumen silver print,specimens_resized/609_S.JPG,specimens_resized_panel/609_S.JPG
610,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1864,December,177a,R. Newell,Albumen silver print,specimens_resized/610_S.JPG,specimens_resized_panel/610_S.JPG
611,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1865,January,1a,J. Carbutt,Albumen silver print,specimens_resized/611_S.JPG,specimens_resized_panel/611_S.JPG
612,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1865,November,1b,R. Newell,Albumen silver print,specimens_resized/612_S.JPG,specimens_resized_panel/612_S.JPG
613,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1865,June,2a,None,Albumen silver print,specimens_resized/613_S.JPG,specimens_resized_panel/613_S.JPG
614,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1865,February,17a,J. Carbutt,Albumen silver print,specimens_resized/614_S.JPG,specimens_resized_panel/614_S.JPG
615,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1865,March,33a,None,Albumen silver print,specimens_resized/615_S.JPG,specimens_resized_panel/615_S.JPG
616,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1865,April,49a,R. Newell,Albumen silver print,specimens_resized/616_S.JPG,specimens_resized_panel/616_S.JPG
617,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1865,May,67a,R. Newell,Albumen silver print,specimens_resized/617_S.JPG,specimens_resized_panel/617_S.JPG
618,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1865,July,105a,None,Albumen silver print,specimens_resized/618_S.JPG,specimens_resized_panel/618_S.JPG
619,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1865,December,189a,Henszey & Co.,Albumen silver print,specimens_resized/619_S.JPG,specimens_resized_panel/619_S.JPG
620,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1866,January,1a ,R. Newell,Albumen silver print,specimens_resized/620_S.JPG,specimens_resized_panel/620_S.JPG
621,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1866,February,33a,A. Marshall,Albumen silver print,specimens_resized/621_S.JPG,specimens_resized_panel/621_S.JPG
622,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1866,March,65a,None,Albumen silver print,specimens_resized/622_S.JPG,specimens_resized_panel/622_S.JPG
623,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1866,April,97a,None,Albumen silver print,specimens_resized/623_S.JPG,specimens_resized_panel/623_S.JPG
624,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1866,June,161a,Henszey & Co.,Albumen silver print,specimens_resized/624_S.JPG,specimens_resized_panel/624_S.JPG
625,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1866,July,193a,Loescher & Petsch,Albumen silver print,specimens_resized/625_S.JPG,specimens_resized_panel/625_S.JPG
626,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1866,August,225a,None,Albumen silver print,specimens_resized/626_S.JPG,specimens_resized_panel/626_S.JPG
627,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1866,September,257a,None,Albumen silver print,specimens_resized/627_S.JPG,specimens_resized_panel/627_S.JPG
628,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1866,October,289a,Schreiber & Son,Albumen silver print,specimens_resized/628_S.JPG,specimens_resized_panel/628_S.JPG
629,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1866,December,359a,Henszey & Co.,Albumen silver print,specimens_resized/629_S.JPG,specimens_resized_panel/629_S.JPG
630,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1867,February,33a,None,Albumen silver print,specimens_resized/630_S.JPG,specimens_resized_panel/630_S.JPG
631,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1867,April,97a,Taylor & Brown,Albumen silver print,specimens_resized/631_S.JPG,specimens_resized_panel/631_S.JPG
632,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1867,May,129a,None,Salted paper print,specimens_resized/632_S.JPG,specimens_resized_panel/632_S.JPG
633,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1867,January,175a,None,Albumen silver print,specimens_resized/633_S.JPG,specimens_resized_panel/633_S.JPG
634,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1867,August,241a,None,Albumen silver print,specimens_resized/634_S.JPG,specimens_resized_panel/634_S.JPG
635,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1867,August,271b,American Photolithographic Co.,Photolithograph,specimens_resized/635_S.JPG,specimens_resized_panel/635_S.JPG
636,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1867,September,273a,None,Albumen silver print,specimens_resized/636_S.JPG,specimens_resized_panel/636_S.JPG
637,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1867,October,305a,George H. Fennemore and F.S. Keeler ,Salted paper print,specimens_resized/637_S.JPG,specimens_resized_panel/637_S.JPG
638,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1867,November,337a,None,Albumen silver print,specimens_resized/638_S.JPG,specimens_resized_panel/638_S.JPG
639,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1868,January,1a,None,Albumen silver print,specimens_resized/639_S.JPG,specimens_resized_panel/639_S.JPG
640,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1868,March,67a,None,Albumen silver print,specimens_resized/640_S.JPG,specimens_resized_panel/640_S.JPG
641,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1868,May,151a,None,Albumen silver print,specimens_resized/641_S.JPG,specimens_resized_panel/641_S.JPG
642,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1868,June,184b,None,Albumen silver print,specimens_resized/642_S.JPG,specimens_resized_panel/642_S.JPG
643,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1868,July,217a,Schreiber & Son,Albumen silver print,specimens_resized/643_S.JPG,specimens_resized_panel/643_S.JPG
645,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1868,September,315a,Schreiber & Son,Albumen silver print,specimens_resized/645_S.JPG,specimens_resized_panel/645_S.JPG
646,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1868,October,347a,F.S. Keeler,Albumen silver print,specimens_resized/646_S.JPG,specimens_resized_panel/646_S.JPG
647,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1868,December,411a,None,Albumen silver print,specimens_resized/647_S.JPG,specimens_resized_panel/647_S.JPG
648,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1869,January,1a ,None,Albumen silver print,specimens_resized/648_S.JPG,specimens_resized_panel/648_S.JPG
649,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1869,Febraury,33a,F. Gutekunst,Albumen silver print,specimens_resized/649_S.JPG,specimens_resized_panel/649_S.JPG
650,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1869,March,65a,Gihon & Jones,Albumen silver print,specimens_resized/650_S.JPG,specimens_resized_panel/650_S.JPG
651,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1869,April,97a,Gihon & Jones,Albumen silver print,specimens_resized/651_S.JPG,specimens_resized_panel/651_S.JPG
652,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1869,May,137a,A.J. Fox,Albumen silver print,specimens_resized/652_S.JPG,specimens_resized_panel/652_S.JPG
653,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1869,June,173a,W.J. Baker,Albumen silver print,specimens_resized/653_S.JPG,specimens_resized_panel/653_S.JPG
654,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1869,June,204b,"Wilson, Hood & Co.",Albumen silver print,specimens_resized/654_S.JPG,specimens_resized_panel/654_S.JPG
655,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1869,October,325a,None,Albumen silver print,specimens_resized/655_S.JPG,specimens_resized_panel/655_S.JPG
656,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1869,December,389a,None,Albumen silver print,specimens_resized/656_S.JPG,specimens_resized_panel/656_S.JPG
657,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1870,January,1a ,Woodbury Photo-Relief Co.,Woodburytype,specimens_resized/657_S.JPG,specimens_resized_panel/657_S.JPG
658,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1870,March,65a,William H. Rhoads,Albumen silver print,specimens_resized/658_S.JPG,specimens_resized_panel/658_S.JPG
659,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1870,May,145a,William H. Rhoads,Albumen silver print,specimens_resized/659_S.JPG,specimens_resized_panel/659_S.JPG
660,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1870,June,185a,None,Albumen silver print,specimens_resized/660_S.JPG,specimens_resized_panel/660_S.JPG
661,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1870,July,225a,None,Albumen silver print,specimens_resized/661_S.JPG,specimens_resized_panel/661_S.JPG
662,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1870,October,337a,William H. Rhoads,Albumen silver print,specimens_resized/662_S.JPG,specimens_resized_panel/662_S.JPG
663,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1870,November,369a,None,Albumen silver print,specimens_resized/663_S.JPG,specimens_resized_panel/663_S.JPG
664,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1871,February,33a,William H. Rhoads,Albumen silver print,specimens_resized/664_S.JPG,specimens_resized_panel/664_S.JPG
665,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1871,March,65a,William H. Rhoads,Albumen silver print,specimens_resized/665_S.JPG,specimens_resized_panel/665_S.JPG
666,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1871,April,97a,William H. Rhoads,Albumen silver print,specimens_resized/666_S.JPG,specimens_resized_panel/666_S.JPG
